alpha,info_mean,unfo_mean,info_std,unfo_std
0.5,0.74326617,0.74942577,0.010252919,0.0056368965
1,0.5370718,0.53608733,0.009968904,0.011512701
1.25,0.47466597,0.4749171,0.015833022,0.01626517
1.75,0.39040002,0.38960674,0.003678823,0.0055650226
2,0.35725728,0.3553081,0.0020610779,0.001208952
2.5,0.29838073,0.3018764,0.0048159207,0.0065852064
3,0.2549404,0.25721854,0.0035632432,0.0011767902
3.5,0.21477507,0.21751934,0.0043994705,0.003278545
4,0.18643282,0.18408541,0.0020058148,0.0031925358
4.5,0.1614033,0.16252011,0.0021720387,0.0011869519
5,0.14199306,0.14376342,0.002648919,0.0017358318
5.5,0.12761557,0.12909538,0.002314269,0.0012878324
6,0.11489628,0.114962645,0.001095068,0.0007459977
6.5,0.10608342,0.10539791,0.0014077967,0.001314495
7,0.09756611,0.09736946,0.0018824753,0.0005712716
7.5,0.08986467,0.089839965,0.00055744295,0.00161222
8,0.083411634,0.084767535,0.00097155,0.0008047268
