alpha,info_mean,unfo_mean,info_std,unfo_std
0.5,0.7590846,0.76016796,0.012976718,0.007871917
1,0.53831786,0.5353012,0.0037122115,0.0027259393
1.5,0.42173764,0.42108062,0.006601708,0.00436329
2,0.35565576,0.35360602,0.010538054,0.01132712
2.5,0.3016057,0.30258557,0.003973696,0.005802522
3,0.25600198,0.2579676,0.0045070373,0.0031235092
3.5,0.21853332,0.21887258,0.0021638963,0.0022805058
4,0.18607457,0.18967624,0.0018259956,0.0029980266
4.5,0.15936074,0.16269794,0.0019250021,0.0020649543
5,0.1423887,0.14380422,0.0013395472,0.0016305331
5.5,0.12676886,0.1280374,0.00073964143,0.0012089163
6,0.11576769,0.11529684,0.0004936834,0.0014075874
6.5,0.10509133,0.1052031,0.0020219346,0.0017156288
7,0.096394226,0.09658026,0.0013772661,0.0010602726
7.5,0.090326525,0.08998545,0.0010061279,0.0009008445
8,0.084268674,0.08458147,0.00057139987,0.0006689618
