alpha,info_mean,unfo_mean,info_std,unfo_std
0.5,0.7514943,0.74712014,0.0091318395,0.0076432778
1,0.5389082,0.53835815,0.00571533,0.00895282
1.5,0.42083347,0.41903597,0.009970956,0.0068596434
2,0.3455679,0.3448164,0.003658863,0.0017949505
2.5,0.292799,0.29240814,0.0035931196,0.002710853
3,0.23807198,0.24199495,0.0030737594,0.004638673
3.5,0.19518343,0.19646356,0.0022037146,0.0024867526
4,0.1637773,0.16919954,0.0019752695,0.0035077292
4.5,0.14299697,0.14273773,0.0025325362,0.0016440374
5,0.12666252,0.12719415,0.0014048801,0.002105757
5.5,0.11164412,0.11313879,0.00036807466,0.0012899991
6,0.10279508,0.10433914,0.0013797922,0.0011400355
6.5,0.09434735,0.09526429,0.0007377322,0.0004694887
7,0.087881014,0.08837974,0.001256859,0.0010155974
7.5,0.08120156,0.081925616,0.00036310402,0.0021994377
8,0.07672585,0.0762256,0.0006747646,0.00088137685
