alpha,info_mean,unfo_mean,info_std,unfo_std
0.5,0.8112806,0.81275713,0.015348711,0.033699755
1,0.5878876,0.5794766,0.021868436,0.01476064
1.25,0.5118461,0.50219434,0.01919521,0.010155984
1.75,0.3964827,0.39874098,0.00707276,0.009731222
2,0.3672664,0.36972356,0.005372265,0.0053912243
2.5,0.3016007,0.2947702,0.009723155,0.008308662
3,0.24659723,0.24003723,0.006952853,0.0053647864
3.5,0.20347053,0.20431186,0.0032000449,0.0038156617
4,0.17826347,0.17474966,0.0065092132,0.004889094
4.5,0.14901763,0.14995335,0.0032296048,0.0024895533
5,0.13652416,0.13652076,0.0022974024,0.002562902
5.5,0.11916633,0.12378696,0.0021433071,0.003115097
6,0.10798524,0.11022312,0.0034615844,0.0018327495
6.5,0.10338308,0.1006413,0.0033792504,0.0046604937
7,0.096058704,0.09344556,0.0007324012,0.001122939
7.5,0.08745055,0.08738662,0.0031756882,0.0015275144
8,0.08026997,0.083970346,0.00054466835,0.0022704431
