alpha,info_mean,unfo_mean,info_std,unfo_std
0.5,0.79838866,0.80074877,0.02545661,0.016932206
1,0.576772,0.58081967,0.006536662,0.0068043475
1.5,0.44518238,0.44645768,0.004560298,0.0062450604
2,0.36401,0.37033668,0.005515656,0.006686104
2.5,0.296496,0.2976787,0.0015907862,0.0038095259
3,0.24157317,0.24303819,0.0024065438,0.0051624742
3.5,0.20331834,0.207256,0.0015884012,0.0023793876
4,0.17539226,0.1741557,0.0031399082,0.0030616208
4.5,0.15221113,0.15181302,0.0014460513,0.00134148
5,0.13564235,0.13598774,0.0013405783,0.00073291984
5.5,0.123469405,0.12300043,0.00023758259,0.001941171
6,0.11207098,0.11205918,0.00030513978,0.0011409787
6.5,0.1024299,0.10262559,0.00091888604,0.0004800411
7,0.09407831,0.09421452,0.0010046752,0.0006378414
7.5,0.0875846,0.08731254,0.000355847,0.00076875597
8,0.08341382,0.08230433,0.0012480589,0.0016663313
